Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
driver2 = getWebDriver(),Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,003s",PASSED
"Table2 = driver2.findElement(By.xpath(""//table[@id='tblZastepstwaIndexGrid']/tbody""))",Chrome 72.0.3626.109,To locate table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,039s",PASSED
"rows_table2 = Table.findElements(By.tagName(""tr""))",Chrome 72.0.3626.109,To locate rows of table it will Capture all the rows available in the table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,020s",PASSED
LiczbaWierszyPoDodaniuZastepstwa = rows_table2.size(),Chrome 72.0.3626.109,To calculate no of rows In table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,000s",PASSED
assert LiczbaWierszyPrzedDodaniemZastepstwa != LiczbaWierszyPoDodaniuZastepstwa,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,000s",PASSED
,,,,,,
Test Cases/Testy jeden po drugim zastepstwa/Test_003.3 Akceptacja zastepstwa,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:16:18,"1m - 4,533s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,047s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,002s",NOT_RUN
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,000s",NOT_RUN
TworzenieZastepstwa(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,017s",NOT_RUN
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,648s",PASSED
"help_pack.Logowanie.zaloguj(""anna.borowska"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:24,"7,313s",PASSED
AkceptacjaNaKoncieAnnaBorowska(),Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:24,"0,002s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:24,"0,438s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Akceptacja)""))",Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:25,"0,814s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:15:25,2019-02-26 08:15:25,"0,310s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:25,2019-02-26 08:15:28,"2,762s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""tabela"", [""xpath"":""//td[3]""]), 15)",Chrome 72.0.3626.109,Kliknij wiersz pierwszy w tabeli,2019-02-26 08:15:28,2019-02-26 08:15:28,"0,411s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//div[@id='obi_zastepstwa_akceptacja_actions_akceptacja']/div""]), 15)",Chrome 72.0.3626.109,Kliknij button akceptacja,2019-02-26 08:15:28,2019-02-26 08:15:29,"0,390s",PASSED
Thread.sleep(500),Chrome 72.0.3626.109,,2019-02-26 08:15:29,2019-02-26 08:15:29,"0,513s",PASSED
"setText(findTestObject(""pole tekstowe"", [""xpath"":""//input[@id='obi_zastepstwa_instancja_akceptacji_uwagi']""]), ""Akceptacja pierwsza osoba"")",Chrome 72.0.3626.109,,2019-02-26 08:15:29,2019-02-26 08:15:30,"0,968s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//input[@id='btnInstancjaakceptacjiSaveChanges']""]), 15)",Chrome 72.0.3626.109,Kliknij button Zapisz,2019-02-26 08:15:30,2019-02-26 08:15:31,"0,422s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:31,2019-02-26 08:15:31,"0,788s",PASSED
"help_pack.Logowanie.zaloguj(""romuald.puzyrewski"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:31,2019-02-26 08:15:39,"7,382s",PASSED
AkceptacjaNaKoncieRomualdPuzyrewski(),Chrome 72.0.3626.109,,2019-02-26 08:15:39,2019-02-26 08:15:39,"0,002s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:15:39,2019-02-26 08:15:39,"0,501s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Akceptacja)""))",Chrome 72.0.3626.109,,2019-02-26 08:15:39,2019-02-26 08:15:40,"0,825s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:15:40,2019-02-26 08:15:40,"0,305s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:40,2019-02-26 08:15:43,"2,545s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""tabela"", [""xpath"":""//td[3]""]), 15)",Chrome 72.0.3626.109,Kliknij wiersz pierwszy w tabeli,2019-02-26 08:15:43,2019-02-26 08:15:43,"0,406s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//div[@id='obi_zastepstwa_akceptacja_actions_akceptacja']/div""]), 15)",Chrome 72.0.3626.109,Kliknij button akceptacja,2019-02-26 08:15:43,2019-02-26 08:15:44,"0,365s",PASSED
Thread.sleep(500),Chrome 72.0.3626.109,,2019-02-26 08:15:44,2019-02-26 08:15:44,"0,502s",PASSED
"setText(findTestObject(""pole tekstowe"", [""xpath"":""//input[@id='obi_zastepstwa_instancja_akceptacji_uwagi']""]), ""Akceptacja druga osoba"")",Chrome 72.0.3626.109,,2019-02-26 08:15:44,2019-02-26 08:15:45,"0,905s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//input[@id='btnInstancjaakceptacjiSaveChanges']""]), 15)",Chrome 72.0.3626.109,Kliknij button Zapisz,2019-02-26 08:15:45,2019-02-26 08:15:45,"0,301s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:45,2019-02-26 08:15:46,"0,627s",PASSED
"help_pack.Logowanie.zaloguj(""ludwik.bartoszewicz"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:46,2019-02-26 08:15:54,"7,493s",PASSED
AkceptacjaNaKoncieLudwikBartoszewicz(),Chrome 72.0.3626.109,,2019-02-26 08:15:54,2019-02-26 08:15:54,"0,001s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:15:54,2019-02-26 08:15:54,"0,442s",PASSED
"selectOptionByValue(findTestObject(""Wybierz opcje"", [""xpath"":""//select[@id='aktualne_stanowisko']""]), ""4"", false)",Chrome 72.0.3626.109,,2019-02-26 08:15:54,2019-02-26 08:15:54,"0,367s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Akceptacja)""))",Chrome 72.0.3626.109,,2019-02-26 08:15:54,2019-02-26 08:15:55,"0,566s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:15:55,2019-02-26 08:15:55,"0,310s",PASSED
